@videoid,@category,@channel name,@viewcount,@Timestamp,@likes,@dislikes,@userid
tdCk3NQC_FU,People & Blogs,LOOSER STUDIO,480,00:01:23,11,1,1
cD69UJeIZ_c,People & Blogs,LOOSER STUDIO,599,00:03:20,54,0,1
II02TV6pvf4,Howto & Style,DevNami,1595,00:02:56,0,0,1
Yn4xfvGaau8,Howto & Style,DevNami,7724,00:03:54,0,0,1
BU9TdMqLAIg,People & Blogs,Testing World,2490,00:07:12,6,3,1
CriSHYMtg9M,Science & Technology,SNSSB TECH(SN SABH SIKH BABA),7683,00:09:17,46,16,1
kcYc9SQ7JjY,People & Blogs,Testing World,609,00:10:42,5,0,1
siyDNe7SPZU,People & Blogs,Testing World,549,00:04:52,3,0,1
0oc1QJmyPB8,People & Blogs,Testing World,889,00:03:23,3,1,1
P_aDrH_gxs4,Entertainment,Gary Huston,7636094,00:11:34,47638,3713,1
6snR8lupF5E,People & Blogs,Code World,4767,00:12:37,43,0,1
tI8ijLpZaHk,Science & Technology,Hitesh Choudhary,606595,00:10:18,12463,792,1
gxJyevFd9FE,Science & Technology,TubeMint,29953,00:04:24,160,14,1
4pGn5Y1qM9k,People & Blogs,Gyaan With Anand Nayyar,6529,00:07:43,31,6,1
gxJyevFd9FE,Science & Technology,TubeMint,29953,00:04:24,160,14,1
EiGl2Ag35AI,Education,ProgrammingKnowledge,119149,00:10:47,638,42,1
c4ybC5bUA7U,Education,edureka!,2541,01:05:25,13,3,1
